Название элемента;Заголовок (title);Файл изображения для элемента;Адрес (youtube);Заголовок1-1;Ссылка1-1;Описание1-1;Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"Как ухаживать за клубникой";"Как выращивать клубнику";"https://st03.kakprosto.ru/tumb/680/images/article/2016/5/5/69536_572b3893e5d09572b3893e5d44.jpeg";"SvwGaulwhIk";"Как правильно ухаживать за клубникой весной и летом";"https://orchardo.ru/71-vesenniy-i-letniy-uhod-za-klubnikoy-po-vsem-pravilam.html";"Как обеспечить правильный уход за клубникой на протяжении всего весенне- летнего сезона? Если вы хотите добиться отличного урожая сладких ягод, ...";"Как ухаживать за клубникой в июле - Комсомольская правда";"https://www.kp.ru/daily/26255.7/3134569/";"13 июл 2014 ... Как ухаживать за клубникой в июле. Забота о клубнике в июле и августе - основа будущего урожая [5 важных правил]. Анна КУКАРЦЕВА.";"Правильный уход за клубникой для получения большого урожая ...";"https://www.botanichka.ru/article/pravilnyiy-uhod-za-klubnikoy-dlya-polucheniya-bolshogo-urozhaya/";"7 апр 2017 ... Клубника – любимая и невероятно привередливая ягода. Как разбалованный ребенок, она болезненно реагирует на любой неверный ...";"Календарь ухода за клубникой с весны до осени | В саду (Огород ...";"https://www.ogorod.ru/ru/sad/strawberry/10287/Kalendar-uhoda-za-klubnikoj-s-vesny-do-oseni.htm";"15 июн 2017 ... Клубника (садовая земляника) – довольно капризная культура. Поэтому за ней нужно тщательно ухаживать с ранней весны до поздней ..."
"Как готовить гречку";"Как сварить гречку";"https://st03.kakprosto.ru/tumb/680/images/article/2011/10/13/1_5254f73db42355254f73db4274.jpg";"p_D9C0mhBg4";"Как правильно варить гречку? | Ответы на Ваши вопросы";"https://uznayvse.ru/voprosyi/kak-pravilno-varit-grechku.html";"Гречка – уникальный продукт, который просто незаменим в нашем рационе. Она стоит недорого и при этом полезна, а при хотя бы небольшой степени ...";"Как правильно варить гречку: пошаговая инструкция - Лайфхакер";"https://lifehacker.ru/kak-varit-grechku/";"17 янв 2017 ... Также можно сварить гречку на воде, а уже затем добавить в неё подогретое молоко и готовить до полного выпаривания жидкости.";"КАК ВАРИТЬ ГРЕЧКУ — гречка в мультиварке, в микроволновке ...";"https://f.ua/articles/kak-varit-grechku.html";"Когда готовите гречку, не стоит заливать ее холодной водой. Гречневая крупа на 60% состоит из крахмала. Пока вода нагревается, выделяется ...";"Рецепт: Как варить гречку на RussianFood.com";"https://www.russianfood.com/recipes/recipe.php%3Frid%3D120402";"Рецепт Как варить гречку, cостав: крупа гречневая (ядрица) , вода, соль, масло сливочное (40-50 г);, Рецепты вторых блюд, Гарниры, Каши, Гречневая ..."
"Чем успокоить зубную боль";"Что помогает при зубной боли";"https://st03.kakprosto.ru/tumb/680/images/article/2014/5/8/1_537edb93becd6537edb93bed32.jpg";"BlLnPD17TLs";"Чем и как снять зубную боль в домашних условиях, таблетки ...";"https://www.vita-stom.ru/articles/chem-i-kak-snyat-zubnuyu-bol.html";"Как быстро избавиться от зубной боли в домашних условиях. Советы и рекомендации по снятию острой зубной боли.";"Как снять зубную боль в домашних условиях - STOMATOLOGIYA ...";"http://stomatologiya.info/symptoms/toothache/snyat-zubnuyu-bol-v-domashnix-usloviyax/";"Зуб болит сильно, а врача рядом нет? Мы расскажем, как снять боль зуба в домашних условиях.";"Болит зуб сильная острая зубная боль как убрать чем снять LD";"https://www.lumident.kiev.ua/zubnaya-bol";"БОЛИТ ЗУБ - КАК УБРАТЬ ЗУБНУЮ БОЛЬ? КАК УСПОКОИТЬ? КАК УНЯТЬ? Сильная зубная боль способна нарушить все планы, испортить ...";"Чем снять зубную боль в домашних условиях - НоваДент";"https://www.novadent.ru/publikacii/statyi/chem-snyat-zubnuyu-bol-v-domashnikh-usloviyakh/";"Зубная боль считается наиболее сильной и мучительной в природе. К счастью, существуют способы избавиться от неё. Хотите узнать, чем снять ..."
"Как пользоваться сестью ок ру";"Как зайти на свою страницу в ок ру";"https://st03.kakprosto.ru/tumb/680/images/article/2013/10/14/1_527a0af90425c527a0af904297.jpg";;"Розблокувати Однокласники (ok.ru) - Веб-магазин Chrome";"https://chrome.google.com/webstore/detail/%25D1%2580%25D0%25B0%25D0%25B7%25D0%25B1%25D0%25BB%25D0%25BE%25D0%25BA%25D0%25B8%25D1%2580%25D0%25BE%25D0%25B2%25D0%25B0%25D1%2582%25D1%258C-%25D0%25BE%25D0%25B4%25D0%25BD%25D0%25BE%25D0%25BA%25D0%25BB%25D0%25B0%25D1%2581%25D1%2581%25D0%25BD/acjkjigmbpdbehmojceoibdegihpgole%3Fhl%3Duk";"Одноклассники – крупнейшая развлекательная социальная сеть в мире. Это место, где каждый может написать своим близким. ЕСТЬ ВСЁ: Делитесь ...";"Одноклассники OK.RU | ВКонтакте";"https://vk.com/ok_official";"До липня 2007 року сайт Одноклассники.ru збільшив свою аудиторію в 2 рази до ... 7 серпня соціальна мережа стала доступною на новому домені ok.ru.";"Одноклассники – социальная сеть – Додатки в Google Play";"https://play.google.com/store/apps/details%3Fid%3Dru.ok.android%26hl%3Duk";"URL · ok.ru. Коммерческий, да. Тип сайта, социальная сеть. Регистрация, бесплатная (с 31 августа 2010 года). Язык(-и). 14 языков: Флаг России русский · Флаг Великобритании английский · Флаг Армении ...";"Однокласники — Вікіпедія";"https://uk.wikipedia.org/wiki/%25D0%259E%25D0%25B4%25D0%25BD%25D0%25BE%25D0%25BA%25D0%25BB%25D0%25B0%25D1%2581%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B8";"18 авг 2016 ... Скачать OK.RU 18.8.16. Самая популярная российская социальная сеть. OK. RU – это официальное приложение российской ..."
"Что делать если болит ухо";"Как справиться с болью в ухе";"https://st03.kakprosto.ru/tumb/680/images/article/2014/8/27/1_540411093f941540411093f97e.jpg";"ikXS9KAki6o";"6 полезных советов: что нужно делать, если заболело ухо?";"https://antibolit.ru/chto-delat-kogda-bolit-uho";"6 полезных советов: что делать, если болит ухо у ребенка или ...";"Что делать, если болит ухо - Onwomen.ru";"http://onwomen.ru/bolit-uho.html";"Что делать, если болит ухо. Человеческие уши – это один из важнейших органов чувств, посредством которых формируется понимание и оценка ...";"Если болит ухо при отите: симптомы, причины, лечение - Likar.info";"http://www.likar.info/lor/article-78766-esli-silno-bolit-uho-vozmozhnye-prichiny-i-chto-delat/";"12 дек 2016 ... Что делать, если сильно болит ухо. Сильно болит ухо при отите. Воспаление уха и боль в ухе при отите. Лечение отита. Инородный ...";"Болит ухо. Что делать и как лечить в домашних условиях | Блог ...";"https://irinazaytseva.ru/bolit-uxo-chto-delat-v-domashnix-usloviyax.html";"27 сен 2016 ... Дорогие читатели, сегодня мы с вами поговорим о том, что делать в ситуации, когда беспокоит боль в ухе, а возможности обратиться к ..."
"Когда выкапывать чеснок";"Когда собирать чеснок";"https://st03.kakprosto.ru/tumb/680/images/article/2015/6/29/151201_559161631bc94559161631bcce.jpeg";"lJzcyiiF3gI";"Чеснок: когда выкапывать и сажать новый. Выращивание ... - 7я.ру";"https://www.7ya.ru/article/Chesnok-kogda-vykapyvat-i-sazhat-novyj-Vyrawivanie-chesnoka/";"Когда убирать чеснок: желтые листья, созревшие бульбочки. Посадка и выращивание чеснока: озимый и яровой. Как хранить чеснок.";"Когда выкапывать чеснок: определение зрелости - СелоМоё";"http://selomoe.ru/chesnok/kogda-vykapyvat-chesnok.html";"Когда выкапывать чеснок. Популярные и действенные способы определения степени созревания, установление оптимальных сроков уборки чеснока.";"Когда убирать зимний чеснок и как правильно его сушить";"http://superda4nik.ru/kogda-ubirat-zimnij-chesnok/";"Выкапывать чеснок начинают при подсыхании нижних и пожелтении верхних листьев. Головка созревшего чеснока должна быть плотной, зубчики ...";"Когда выкапывать чеснок? - DELFI";"http://www.delfi.lv/a/50157351";"25 июн 2018 ... Если вы решили выкопать чеснок на три дня позже положенного срока, зубчики начнут рассыпаться, из-за этого головки станут менее ..."
"Как убрать ячмень";"Как собрать урожай ячменя";"https://st03.kakprosto.ru/tumb/680/images/article/2014/6/20/1_53a8f90832c0f53a8f90832c4e.jpg";"NNUuv33Sm0Q";"Как убрать ячмень с глаза в домашних условиях - HowToGetRid.ru";"http://howtogetrid.ru/kak-ubrat-yachmen-s-glaza-v-domashnix-usloviyax/";"Проверенные советы, как убрать ячмень с глаза в домашних условиях. Как остановить инфекцию и убрать покраснение? Ускоряем созревание ...";"Как быстро вылечить ячмень на глазу: домашние методы";"http://devushkam.info/zdorove/187-kak-bystro-vylechit-yachmen-na-glazu.html";"Мы расскажем о том, как вылечить ячмень на глазу в домашних условиях и предотвратить его появление в будущем. ... Это поможет убрать воспаление.";"Как вылечить ячмень на глазу за один день: первая помощь";"https://bolvglazah.ru/yachmen/kak-vylechit-yachmen-na-glazu-za-odin-den.html";"Ячмень на глазу: чем и как вылечить воспаление за один день. Медикаментозная терапия, народные методы. Профилактика повторного ...";"Ячмень на глазу - лечение в домашних условиях (капли, мази)";"https://stylebody.ru/kak-lechit-yachmen-na-glazu.html";"30 май 2018 ... Самым быстрым способом лечения ячменя на глазу является ... симптомы и методы терапии · Что делать, чтобы убрать круги и синяки ..."
"Как ухаживать за гортензией";"Как выращивать гортензию";"https://st03.kakprosto.ru/tumb/680/images/article/2014/8/27/1_540d28d8df2b4540d28d8df2f4.jpg";"l0mI2SupPIM";"Гортензия: посадка и уход в открытом грунте, виды гортензии ...";"https://rastenievod.com/gortenziya.html";"1 май 2017 ... Такое цветущее растение, как гортензия имеет прямое отношение к семейству гортензиевых. По различным данным этот род ...";"Гортензии: посадка, уход, размножение - GreenInfo.ru";"https://www.greeninfo.ru/decor_trees/hydrangea_arborescens.html/Article/_/aID/5753";"Все виды и сорта гортензии влаголюбивы. Взрослые экземпляры более светолюбивы и холодостойки, чем молодые. Гортензии требовательны к ...";"ГОРТЕНЗИЯ: правильная посадка и уход в открытом грунте! + ...";"http://flowersholiday.com/gortenziya-posadka-uhod-obrezka-zimovka/";"8 янв 2017 ... Описываем посадку и уход за гортензией весной и осенью (древовидная, крупнолистная (садовая), метельчатая и черешковая).";"Уход за гортензией в саду и на даче: посадка и полив, обрезка и ...";"http://dom-florista.ru/rasteniya/dekorativnocvetushhie/gortenziya/gortenziya-v-sadu.html";"Dom-Florista » Растения » Декоративноцветущие растения » Гортензия » Посадка и уход за садовой гортензией, особенности выращивания видов ..."
"Что делать если укусила оса";"Что делать при соином укусе";"https://st03.kakprosto.ru/tumb/680/images/article/2014/2/26/1_53268dc692adf53268dc692b1b.jpg";"KIyIFLx7vcY";"Если укусила оса. Первая помощь при укусе осы, пчелы, шмеля ...";"http://medicina.dobro-est.com/esli-ukusila-osa-pervaya-pomoshh-pri-ukuse-osyi-pchelyi-shmelya-ili-shershnya.html";"28 фев 2013 ... Если Вас укусила оса, пчела, шмель, прежде всего, нужно сохранять спокойствие, и не паниковать. Конечно, ощущения не из приятных, ...";"Что делать, если укусила оса - Likar.Info";"http://www.likar.info/zdorovye-vsey-semyi/article-63059-chto-delat-esli-ukusila-osa/";"24 сен 2013 ... Ощущения при укусе осы сравнимы с легким ожогом. При этом обычно место укуса отекает, а особенно сильно мягкие ткани (лицо, ...";"Что делать, если укусила оса? | Еженедельник АПТЕКА";"https://www.apteka.ua/article/415197";"23 июн 2017 ... Осы начинают строить свои гнезда весной и делают они это в разных ... отек , который длится до 2 дней после перенесенного укуса.";"Что делать, если укусила оса или пчела? | Вечные вопросы ...";"http://www.aif.ru/dontknows/eternal/chto_delat_esli_ukusila_osa_ili_pchela";"12 июл 2013 ... Если вас ужалила пчела или оса, то первым делом нужно тщательно промыть место укуса, важно смыть всю грязь и остатки яда."
"Что такое недержание мочи";"Как лечить недержание мочи";"https://st03.kakprosto.ru/tumb/680/images/article/2017/5/3/295343_5909e1df760f55909e1df76131.jpeg";"ZgMb88s7-h0";"Недержание мочи у женщин — Клиника Обериг";"https://oberig.ua/diseases/nederzhanie-mochi/";"Недержание мочи у женщин (іncontinentia) — это непроизвольное выделение мочи, не поддающееся волевому усилию. Недержание мочи достаточно ...";"Недержание мочи у женщин при кашле смехе физических ...";"https://jurinmed.com.ua/urolog/nederzhanie-mochi-u-zhenshchin.html";"Недержанием мочи у женщин называется такое состояние, во время которого наблюдается выделение мочи непроизвольного характера. Во время ...";"Недержание мочи - причины, симптомы, диагностика и лечение";"http://www.krasotaimedicina.ru/diseases/zabolevanija_urology/incontinence";"Недержание мочи. Симптомы. Диагностика. Что делать при диагнозе недержание мочи. Консервативное лечение и операции. Платные и бесплатные ...";"Недержание мочи - Заболевания мочеполовой системы ...";"https://www.msdmanuals.com/ru/%25D0%25BF%25D1%2580%25D0%25BE%25D1%2584%25D0%25B5%25D1%2581%25D1%2581%25D0%25B8%25D0%25BE%25D0%25BD%25D0%25B0%25D0%25BB%25D1%258C%25D0%25BD%25D1%258B%25D0%25B9/%25D0%25B7%25D0%25B0%25D0%25B1%25D0%25BE%25D0%25BB%25D0%25B5%25D0%25B2%25D0%25B0%25D0%25BD%25D0%25B8%25D1%258F-%25D0%25BC%25D0%25BE%25D1%2587%25D0%25B5%25D0%25BF%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B2%25D0%25BE%25D0%25B9-%25D1%2581%25D0%25B8%25D1%2581%25D1%2582%25D0%25B5%25D0%25BC%25D1%258B/%25D1%2580%25D0%25B0%25D1%2581%25D1%2581%25D1%2582%25D1%2580%25D0%25BE%25D0%25B9%25D1%2581%25D1%2582%25D0%25B2%25D0%25B0-%25D0%25BC%25D0%25BE%25D1%2587%25D0%25B5%25D0%25B8%25D1%2581%25D0%25BF%25D1%2583%25D1%2581%25D0%25BA%25D0%25B0%25D0%25BD%25D0%25B8%25D1%258F/%25D0%25BD%25D0%25B5%25D0%25B4%25D0%25B5%25D1%2580%25D0%25B6%25D0%25B0%25D0%25BD%25D0%25B8%25D0%25B5-%25D0%25BC%25D0%25BE%25D1%2587%25D0%25B8";"Недержание мочи – это непроизвольное выделение мочи; по мнению некоторых экспертов, оно дебютирует только тогда, когда пациент отмечает  ..."
"Як користуватися сайтом контакти";"Як зайти на сайт контакти";;;"КОНТАКТИ – КИЇВТЕПЛОЕНЕРГО";"https://kte.kmda.gov.ua/kontakt/";"Контакти для ЗМІ: press@kte.kmda.gov.ua. Центр комунального сервісу: (лінія працює Пн-Сб з 09:00 до 20:00). тел.: (044) 247 40 40 (багатоканальний).";"Контакти - Національний інститут хірургії та трансплантології імені";"http://www.surgery.org.ua/Documents/Details/be3ba56b-9c3c-43cc-86ea-f127cf725fb0%3Flang%3Duk-UA%26title%3DKontakti";"Телефони гарячої лінії. (068) 778 43 49. (066) 526 03 80. КОНСУЛЬТАТИВНА ПОЛІКЛІНІКА. Реєстратура поліклініки: тел. (044) 408 14 36. УВАГА!";"Контакти - Національна комісія, що здійснює державне ...";"http://www.nerc.gov.ua/%3Fid%3D6911";"КОНТАКТИ та розташування Національної комісії, що здійснює державне регулювання у сферах енергетики та комунальних послуг (НКРЕКП). Адреса:  ...";"Контакт-центру МАУ - Ukraine International Airlines";"https://www.flyuia.com/ua/ua/contacts";"Головний контакт-центр. FAQ. +38 (044) 581-50-50 +38 (044) 593-76-08. Маєте запитання щодо вашого бронювання? Бажаєте змінити квиток або ..."
"Что делать если  укусила оса";"Как помочь при осином укусе";"https://st03.kakprosto.ru/tumb/680/images/article/2014/1/17/1_5305e868bcd585305e868bcd96.jpg";"KIyIFLx7vcY";"Что делать если укусила оса — Укусили!";"http://ukusili.net/chto-delat-pri-ukuse-osy/";"Что делать если укусила оса. 28.04.2014 Рубрика: Насекомые. Осы, одни из немногих насекомых, не имеющих четкого научного определения.";"Что делать, если укусила оса - Likar.Info";"http://www.likar.info/zdorovye-vsey-semyi/article-63059-chto-delat-esli-ukusila-osa/";"24 сен 2013 ... Главная Здоровье всей семьи Что делать, если укусила оса ... оса Большинству людей укус одной осы никакими серьезными ...";"Что делать, если укусила оса? | Еженедельник АПТЕКА";"https://www.apteka.ua/article/415197";"23 июн 2017 ... Осы начинают строить свои гнезда весной и делают они это в разных местах, поэтому как взрослые, так и дети могут столкнуться с ...";"Если укусила оса. Первая помощь при укусе осы, пчелы, шмеля ...";"http://medicina.dobro-est.com/esli-ukusila-osa-pervaya-pomoshh-pri-ukuse-osyi-pchelyi-shmelya-ili-shershnya.html";"28 фев 2013 ... Теги: укусила оса, укусила пчела, укусил шмель, укусил шершень, что делать если укусила оса, ребенка укусила оса, первая помощь при ..."
"Что делать если укусила пчела";"Что делать если ужалила пчела";"https://st03.kakprosto.ru/tumb/680/images/article/2014/3/27/1_533e5af2d51c9533e5af2d5203.jpg";"fUPz98XaBQg";"Что делать, чтобы уменьшить отек и зуд после укуса пчелы или ...";"https://fakty.ua/204778-chto-delat-chtoby-umenshit-otek-i-zud-posle-ukusa-pchely-ili-osy";"20 авг 2015 ... Если нарастают симптомы анафилактического шока — сильная одышка и головная боль, тошнота, рвота, судороги, следует ...";"Что делать, если укусила оса или пчела? | Вечные вопросы ...";"http://www.aif.ru/dontknows/eternal/chto_delat_esli_ukusila_osa_ili_pchela";"12 июл 2013 ... Если вас ужалила пчела или оса, то первым делом нужно тщательно промыть место укуса, важно смыть всю грязь и остатки яда.";"Если укусила пчела, что делать? Первая помощь - ВредСтоп";"http://vredstop.ru/nasekomye-v-sadu/esli-ukusila-pchela.html";"Если укусила пчела, что делать, должен знать каждый, так как пчелиный яд может привести к нежелательным последствиям, которые можно успешно ...";"Укусила пчела - что делать в домашних условиях - apest.ru";"https://apest.ru/nasekomye/pchely/ukus-pchely/";"Что делать, если укусила пчела. Содержание. 1 Кто укусил; 2 Как выглядит укус пчелы; 3 О последствиях; 4 Оказываем помощь или что делать при укусе  ..."
"Чем помазать укус осы";"Что помогает при укусе осы";;;"Что делать, чтобы уменьшить отек и зуд после укуса пчелы или ...";"https://fakty.ua/204778-chto-delat-chtoby-umenshit-otek-i-zud-posle-ukusa-pchely-ili-osy";"20 авг 2015 ... Если нарастают симптомы анафилактического шока — сильная одышка и головная боль, тошнота, рвота, судороги, следует ...";"Чем помазать укус осы и пчелы: первая помощь при укусе ...";"http://bezvrediteley.ru/zhalyashhie/chem-mozhno-pomazat-mesto-ukusa-osy-i-pchely";"Чем помазать укус осы и нужно ли оказывать какую-то медицинскую помощь пострадавшему. Это частый вопрос, который беспокоит взрослых и детей ...";"Что делать если укусила оса — Укусили!";"http://ukusili.net/chto-delat-pri-ukuse-osy/";"28 апр 2014 ... После укуса осы, на теле обычно наблюдается отек. При укусах в глаза ... Помазать ранку Псило-бальзамом или гелем «Фенистил».";"Чем можно помазать укус осы - Woman.ru";"http://www.woman.ru/kids/healthy/thread/4703195/";"20 июн 2016 ... Ребенка укусила оса, аллергии вроде нет, но место укуса чуток подраздуло... Чем можно помазать укус осы, чтоб прошел отек?"
"Когда убирают лук";"Когда выкапывать урожай лука";"https://st03.kakprosto.ru/tumb/680/images/article/2017/8/2/155937_5981a6e47a7505981a6e47a78f.jpeg";"B9dDqmgDlls";"Когда убирать лук с грядки на хранение по лунному календарю?";"https://www.fermeru.pro/uborka-luka-po-lunnomu-kalendaryu.html";"При планировании уборки лука на хранение необходимо ориентироваться на лунный календарь, признаки зрелости культуры и погодные условия.";"Когда убирать лук с грядки – простой секрет, сроки + фото";"http://ogorodko.ru/kogda-ubirat-luk-s-gryadki.html";"16 июл 2017 ... Когда убирать лук с грядки – на хранение, по лунному календарю, как определить готовность к уборке, как узнать, что лук созрел, ...";"Когда убирают лук с грядки - выбор срока";"http://moya-belarus.ru/ovoshhi/luk/kogda-ubirayut-luk.html";"Определить когда убирают лук с грядки несложно. Выбор срока и способа зависит от нескольких факторов. Они различаются для разных видов лука.";"Когда убирать репчатый лук | оптимальные сроки уборки луки ...";"http://onwomen.ru/kogda-ubirat-luk.html";"Сегодня мы с вами поговорим о том, когда следует убирать репчатый лук, а также поведаем о том, каким образом это следует делать, чтобы сохранить  ..."
"Что делать когда укусила оса";"Что делать при осином укусе";"https://st03.kakprosto.ru/tumb/680/images/article/2014/2/26/1_53268dc692adf53268dc692b1b.jpg";"KIyIFLx7vcY";"Что делать если укусила оса — Укусили!";"http://ukusili.net/chto-delat-pri-ukuse-osy/";"Что делать если укусила оса. 28.04.2014 Рубрика: Насекомые. Осы, одни из немногих насекомых, не имеющих четкого научного определения.";"Если укусила оса. Первая помощь при укусе осы, пчелы, шмеля ...";"http://medicina.dobro-est.com/esli-ukusila-osa-pervaya-pomoshh-pri-ukuse-osyi-pchelyi-shmelya-ili-shershnya.html";"28 фев 2013 ... Теги: укусила оса, укусила пчела, укусил шмель, укусил шершень, что делать если укусила оса, ребенка укусила оса, первая помощь при ...";"Что делать, если укусила оса? | Еженедельник АПТЕКА";"https://www.apteka.ua/article/415197";"23 июн 2017 ... Осы начинают строить свои гнезда весной и делают они это в разных местах, поэтому как взрослые, так и дети могут столкнуться с ...";"Что делать, если укусила оса или пчела? | Вечные вопросы ...";"http://www.aif.ru/dontknows/eternal/chto_delat_esli_ukusila_osa_ili_pchela";"12 июл 2013 ... Если вас ужалила пчела или оса, то первым делом нужно тщательно промыть место укуса, важно смыть всю грязь и остатки яда."
"Чем полоскать горло";"Чем полоскать больное горло";"https://st03.kakprosto.ru/tumb/680/images/article/2011/10/14/1_525513541d615525513541d653.jpg";"qRagWYwg23Y";"Полоскание горла при гнойной ангине (тонзиллите): перекись ...";"https://doc.ua/bolezn/angina-tonzillit/poloskanie-gorla-pri-angine-i-tonzillite";"Перед процедурой полоскания горла при ангине следует уменьшить боль и снять воспаление. Для этого в стакан воды добавляется 1 чайная ложка ...";"Топ-5 рецептов полосканий при боли в горле | Здоровая жизнь ...";"http://www.aif.ua/health/life/965637";"24 сен 2013 ... Полоскать больное горло лучше по пять минут каждый час, тогда облегчение наступит не только сразу после полоскания, а на ...";"Облегчить боль в горле ребенку помогут полоскания с солью или ...";"https://fakty.ua/172608-oblegchit-bol-v-gorle-rebenku-pomogut-poloskaniya-s-solyu-ili-sodoj";"21 ноя 2013 ... Вряд ли найдется ребенок, у которого никогда не болело бы горло. Заболеть ангиной можно в любое время года, но чаще всего это ...";"Чем полоскать больное горло ребенку: 5 проверенных средств";"https://kolobok.ua/ot-3-do-6/zdorovye/chem-poloskat-bolnoe-gorlo-rebenku-5-proverennyh-sredstv-2913.html";"8 фев 2017 ... Полоскать ротик и горло следует после еды, а после полоскания есть и пить нельзя около 20-30 минут, иначе не будет никакого ..."
"Как убрать запах перегара";"Чем удалить запах перегара";"https://st03.kakprosto.ru/tumb/680/images/article/2011/8/4/1_525511e2937f0525511e293830.jpg";"M80lpl1G6TE";"Как убрать запах перегара быстро? | Домашний способ";"http://dometod.ru/poleznye-sovety/kak-ubrat-zapax-peregara-bystro.html";"Для окружающих запах перегара очень неприятен. Употребление алкоголя способствует образованию избытка уксусного альдегида. До того времени ...";"Перегар – 12 эффективных способов как убрать запах перегара ...";"http://pohmelya.ru/alkogol-i-zdorove/kak-ubrat-zapakh-peregara-izo-rta";"После с употреблением спиртного, на утро мы сталкиваемся с проблемой перегара. Есть 12 эффективных способов как убрать запах перегара или ...";"Как убрать запах перегара изо рта - Woman's Day";"http://www.wday.ru/stil-zhizny/kop/vse-sredstva-horoshi-kak-ubrat-peregar/";"Больная тема утром после щедрого застолья: как убрать запах перегара изо рта? Наша статья предложит информацию о доступных и недорогих ...";"Как убрать запах алкоголя изо рта быстро";"https://moy-narcolog.ru/kak-ubrat-zapax-alkogolya-izo-rta-bystro/";"Как перебить запах алкоголя? Как убрать запах перегара изо рта быстро? Ведь непосредственному начальнику он вряд ли понравится. Оглавление."
"Как варить яйца";"Как приготовить яйца";"https://st03.kakprosto.ru/tumb/680/images/article/2011/5/31/1_5254f46fb2b7b5254f46fb2bb8.jpg";"Oz-rM8L28pA";"Сколько и как варить яйца - куриные, перепелиные, утиные";"https://www.timeboil.ru/eggs/";"Узнайте, как и сколько варить яйца вкрутую и всмятку по минутам. Варка куриных, перепелиных и страусиных яиц.";"Сколько варить яйца, как варить куриные яйца - способы для ...";"https://www.timeboil.ru/eggs/hens_eggs/";"Сколько варить куриные яйца: вкрутую 10 минут. Правила варки, в какую воду класть, как правильно варить яйца вкрутую, всмятку, в мешочек.";"Как варить яйца в двух картинках - Pikabu";"https://pikabu.ru/story/kak_varit_yaytsa_v_dvukh_kartinkakh_5832124";"8 апр 2018 ... Чтобы белок не прилипал к скорлупе, надо класть яйца в уже кипящую ... На пикабу было много постов про то, как варить яйца, но таких ...";"Как правильно сварить яйца вкрутую, всмятку, в мешочек ...";"http://33recepta.ru/interesno/kak-pravilno-svarit-yajca-vkrutuyu-vsmyatku-v-meshochek/";"23 июн 2010 ... Вот вам всегда удается сварить яйцо так, как надо? Чтобы белок – твердый, а желток – тягучий и безумно вкусный? Сколько нужно ..."
"Как убрать синяки под глазами";"Как замаскировать синяки под глазами";"https://st03.kakprosto.ru/tumb/680/images/article/2015/8/18/151201_55d309845995155d309845998b.jpeg";"V7INw9-hSEo";"Как убрать синяки под глазами | Новый канал";"https://novy.tv/ru/g-space/news/2018/02/23/yak-pribrati-temni-kola-pid-ochima/";"23 фев 2018 ... Как убрать синяки и темные круги под глазами? Темные круги под глазами появляются по разным причинам - читайте, как их убрать.";"Как убрать синяки и мешки под глазами в домашних условиях за ...";"http://www.allwomens.ru/46530-kak-ubrat-sinyaki-meshki-pod-glazami.html";"Проблема, как убрать синяки, мешки и темные круги под глазами, озадачивает и женщин, и мужчин. Лицо человека многое рассказывает о его образе ...";"Как быстро убрать синяки под глазами. Круги и синяки под глазами";"https://www.7ya.ru/article/Kak-bystro-ubrat-sinyaki-pod-glazami/";"А это не красит никого. Что делать, как быстро убрать синяки под глазами, когда завтра намечается важное мероприятие, выход на работу, свидание?";"5 лучших способов убрать синяки под глазами в ... - Так Просто!";"https://takprosto.cc/kak-ubrat-sinyaki-pod-glazami/";"5 лучших способов убрать синяки под глазами в домашних условиях. Рецепты масок для кожи вокруг глаз."
"Как правильно варить гречку";"Как приготовить гречку";"https://st03.kakprosto.ru/tumb/680/images/article/2011/11/19/1_5254f7afde7975254f7afde7df.jpg";"XiEyEVWWIMw";"Как правильно варить гречку - Food & Mood";"http://foodandmood.com.ua/lifehack/1591899-Kak-pravil-no-varit--grechku";"Как правильно варить гречку. pixabay.com. Гречка – одна из самых полезных круп. Она содержит целый комплекс полезных веществ и прекрасно ...";"Как правильно варить гречку | 1000 секретов";"http://1000sekretov.net/kak-pravilno-varit-grechku/";"Для диетического и детского питания эта крупа подходит идеально. Как же правильно сварить гречку, чтобы она не потеряла своих ценных свойств?";"Как варить гречку, пошаговый рецепт с фото - Гастроном";"https://www.gastronom.ru/recipe/16351/kak-varit-grechku";"2 апр 2017 ... Гречку тщательно перебрать, затем промыть в нескольких водах. Обсушить. Сейчас большинство производителей гречки настаивают ...";"КАК ВАРИТЬ ГРЕЧКУ — гречка в мультиварке, в микроволновке ...";"https://f.ua/articles/kak-varit-grechku.html";"Гречневая каша получится вкусной и рассыпчатой, если выберите правильную посуду для готовки и ..."
